model,target,horizon_event_steps,n_units,planned_count,failed_count,aggregate_status,macro_mae,macro_rmse,macro_mase,macro_relative_mae_vs_last_value,macro_skill_vs_last_value,comparison_status
exponential,capacity_ratio,1,6,48,0,OK,0.010343714147143884,0.012984058582775829,0.49449011673921212,0.42744441760707991,0.57255558239292004,OK
exponential,capacity_ratio,2,6,42,0,OK,0.022240143607972718,0.02483304729863842,1.0634801861358274,0.43715939195919057,0.56284060804080938,OK
exponential,capacity_ratio,3,6,36,0,OK,0.037553661260158487,0.039257735939029821,1.7952043532851143,0.4914279432600579,0.5085720567399421,OK
exponential,esr_ratio,1,6,48,0,OK,0.034132230251725022,0.037831593316163592,0.65043414763572582,0.77291707889682071,0.22708292110317929,OK
exponential,esr_ratio,2,6,42,0,OK,0.062307506773352915,0.072517078870304036,1.1873509836950464,0.70577819720740287,0.29422180279259713,OK
exponential,esr_ratio,3,6,36,0,OK,0.095442008300560113,0.11498952049306597,1.8188962869019232,0.70262704135556575,0.29737295864443436,OK
global_drift,capacity_ratio,1,6,48,0,OK,0.012151493634865382,0.014781924162175346,0.58093857403094395,0.50199918665356613,0.49800081334643381,OK
global_drift,capacity_ratio,2,6,42,0,OK,0.027236218254956871,0.030190485872470443,1.3018989739817852,0.53606227051600563,0.46393772948399437,OK
global_drift,capacity_ratio,3,6,36,0,OK,0.043738185187771804,0.045747522998089186,2.0904009272828983,0.57278314587830648,0.42721685412169358,OK
global_drift,esr_ratio,1,6,48,0,OK,0.02846158282337137,0.032723452475593252,0.54241988172413713,0.64407963502192189,0.35592036497807816,OK
global_drift,esr_ratio,2,6,42,0,OK,0.054242215135430816,0.060967565899411186,1.0336542622894258,0.61435285016582708,0.38564714983417292,OK
global_drift,esr_ratio,3,6,36,0,OK,0.082017285050892841,0.086201354275751305,1.5628504154399534,0.60479462987553656,0.3952053701244635,OK
last_value,capacity_ratio,1,6,48,0,OK,0.024207569445208309,0.026865266364630422,1.1573285513559248,1,0,OK
last_value,capacity_ratio,2,6,42,0,OK,0.050843174604047602,0.054029816382445334,2.4303302306466574,1,0,OK
last_value,capacity_ratio,3,6,36,0,OK,0.07643685185388889,0.079113060081854814,3.6534998933741156,1,0,OK
last_value,esr_ratio,1,6,48,0,OK,0.044237986112499995,0.050276139839479546,0.8431835768803051,1,0,OK
last_value,esr_ratio,2,6,42,0,OK,0.088460833333333336,0.093768011644414395,1.6860855552933474,1,0,OK
last_value,esr_ratio,3,6,36,0,OK,0.13612101851944444,0.13832672824295364,2.5945771728052667,1,0,OK
local_linear,capacity_ratio,1,6,48,0,OK,0.0092404050943055756,0.011447112891967809,0.4418515806440983,0.38135745111966474,0.61864254888033521,OK
local_linear,capacity_ratio,2,6,42,0,OK,0.015339126984047548,0.019147243344164105,0.73422962280706605,0.30071141964365306,0.699288580356347,OK
local_linear,capacity_ratio,3,6,36,0,OK,0.026401296301388832,0.03032826786093017,1.2633200560425886,0.34486073388975774,0.65513926611024242,OK
local_linear,esr_ratio,1,6,48,0,OK,0.022691770839583309,0.029149607106106479,0.43243834685575205,0.51369743690960668,0.48630256309039338,OK
local_linear,esr_ratio,2,6,42,0,OK,0.041237116397222238,0.050137157942577004,0.78576139623869545,0.46725997167637162,0.53274002832362843,OK
local_linear,esr_ratio,3,6,36,0,OK,0.05290078702777775,0.062347069970455062,1.0075886579113926,0.39217875053158524,0.60782124946841476,OK
local_trend_kf,capacity_ratio,1,6,48,0,OK,0.0096910611776270736,0.01153760226690626,0.4631916782332815,0.40102174447881622,0.59897825552118389,OK
local_trend_kf,capacity_ratio,2,6,42,0,OK,0.0182793258433902,0.021385015834101406,0.87432437769412175,0.35906107418180166,0.64093892581819834,OK
local_trend_kf,capacity_ratio,3,6,36,0,OK,0.031600118309361068,0.034030679648088202,1.5108995635938409,0.41324266997111797,0.58675733002888208,OK
local_trend_kf,esr_ratio,1,6,48,0,OK,0.024010483959966505,0.027350700842665904,0.45759084714458903,0.54327038076408296,0.45672961923591709,OK
local_trend_kf,esr_ratio,2,6,42,0,OK,0.039245323714006602,0.047630970497726861,0.74781615602397189,0.44476025345536946,0.55523974654463049,OK
local_trend_kf,esr_ratio,3,6,36,0,OK,0.049977439846741467,0.059931690876023909,0.952280386124425,0.36879383026522344,0.6312061697347765,OK
ridge,capacity_ratio,1,6,48,0,OK,0.0064329293284438134,0.0082900757359385124,0.30603967725792114,0.2731142288121009,0.7268857711878991,OK
ridge,capacity_ratio,2,6,42,0,OK,0.008773683466711299,0.010445769845112399,0.41764811186606526,0.17654937166931731,0.82345062833068272,OK
ridge,capacity_ratio,3,6,36,0,OK,0.0095034477568658234,0.010854614963411715,0.45256177506408651,0.12724462782013754,0.87275537217986254,OK
ridge,esr_ratio,1,6,48,0,OK,0.012954503598460709,0.017224099416594061,0.24684072167070373,0.29368870078946974,0.70631129921053015,OK
ridge,esr_ratio,2,6,42,0,OK,0.015224907523077575,0.01776712207549935,0.29016165289027313,0.17244969475770056,0.82755030524229944,OK
ridge,esr_ratio,3,6,36,0,OK,0.01536572688183469,0.01719089741214026,0.29283759776464446,0.11312856469513709,0.88687143530486301,OK
