provisional_key,listed_segment_count,exact_row_digest,waveform_fingerprint,physical_overlap,status
batch2/2,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/20,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/21,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/22,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/23,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/24,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/25,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/3,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/4,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/5,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/6,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/7,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/8,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch2/9,1,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/1,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
batch3/10,3,NOT_AVAILABLE,NOT_AVAILABLE,UNRESOLVED,BLOCKED_ARCHIVE_TEST_AND_IDENTITY
