item_id,filename,direct_url,expected_bytes,observed_bytes,published_md5,observed_md5,project_sha256,status
figshare_file_54852761,Dataset_HSC.mat,https://ndownloader.figshare.com/files/54852761,225986697,225986697,57e71c60cbae63142db44559edfa8ae0,57e71c60cbae63142db44559edfa8ae0,bf9f5c4889ddaa739d04980b97eb37ed3e4990473d376ca9cd928324e5d8e9cb,PASS_EXACT_BYTES_MD5_SHA256
figshare_file_55269047,HSC_dataset_info.pdf,https://ndownloader.figshare.com/files/55269047,397625,397625,0189a89a72c73080cece2104ba834bce,0189a89a72c73080cece2104ba834bce,7d6c7895891b85721f051eaf92b84f8669efd92475d58ee80ad529e1751b62f1,PASS_EXACT_BYTES_MD5_SHA256
