scope,provisional_trajectory,field,parser_class,dtype,shape,element_count,finite_count,nan_count,inf_count,minimum,maximum,unit,unit_evidence,sampling_granularity,provenance_class,content_sha256,status,reason
summary,ch1,AvgTemp,ndarray,float64,[300],300,300,0,0,19.80075,23.90098941145281,degC,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,d15fba4cead0cf4e9c4cac57563916668a232709d4f9de349325572505cb6f5e,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch1,ChargeTime,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,duration_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch1,DischargeTime,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,duration_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch1,Method,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,string_unavailable_opaque,pinned_information_pdf_only,author_per_cycle_summary,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
complete,ch2,Time,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,datetime_unavailable_opaque,pinned_information_pdf_only,measurement_log_row,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
complete,ch2,Cycle,ndarray,uint8,[1301494],1301494,1301494,0,0,1,150,cycle_index,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,110bbba9d7523ab3d4decba38ec96a218724143036bc07661316f6728ded1172,BLOCKED_UNEXPECTED_RAW_DTYPE,frozen raw audit observed Cycle as uint16
complete,ch2,Current,ndarray,float64,[1301494],1301494,1301494,0,0,-4.001034,10.00342,A,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,5fd774ad0723ec73fc8476d9912f65dd7ac4117a4c9a8d556c7a9659164aeee4,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch2,Voltage,ndarray,float64,[1301494],1301494,1301494,0,0,2.999825,4.200104,V,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,4f2bc17bfa37c60a31e78cef6ede6115737ff061e8b1c702be9270c251cdaff8,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch2,Cap_ch,ndarray,float64,[1301494],1301494,1301494,0,0,0.0,3.429246,Ah,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,d1e183da891426e3ce69ffea4e87a679e97e87d1b76fb50c1990f27ab809926d,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch2,Cap_dis,ndarray,float64,[1301494],1301494,1301494,0,0,0.0,3.42071,Ah,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,43c3495052f20acca4a2f6a0bb85b3da1ee1cecf38a2ba92872ddd3aed955630,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch2,IR,ndarray,float64,[1301494],1301494,1360,1300134,0,0.0,0.0294684506952763,ohm_internal_resistance_not_ESR,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,9674879d65510e1b56fd10ec9174993d5c27e91f022df8c657c2653de6f6cfc9,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch2,Temp,ndarray,float64,[1301494],1301494,1301494,0,0,19.36823,32.30889,degC,pinned_information_pdf_subject_to_documentation_conflicts,measurement_log_row,native_raw_numeric,980a52d59052a3f9380cc26b6abf4009bdf09330933d6f85d83db8db80e00f14,OBSERVED_NUMERIC,raw numeric array statically audited
complete,ch2,Method,MatlabOpaque,"[('s0', 'O'), ('s1', 'O'), ('s2', 'O'), ('arr', 'O')]",[1],NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,NA_NOT_DECODED,string_unavailable_opaque,pinned_information_pdf_only,measurement_log_row,MATLAB_MCOS_or_object_not_decoded,NA_NOT_READ,BLOCKED_STATIC_OPAQUE,author workspace/class code forbidden; no MCOS object decoding
summary,ch2,Cycle,ndarray,uint8,[150],150,150,0,0,1,150,cycle_index,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,a10953b15602798d3d247aff71b6a367a47c5a9332632b1e50d422ffc28bdaff,BLOCKED_UNEXPECTED_RAW_DTYPE,frozen raw audit observed Cycle as uint16
summary,ch2,Cap_ch,ndarray,float64,[150],150,150,0,0,0.583698,3.429246,Ah,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,b716f9fd502c144bed6981ba18c925a94c1e86cc29118754939fd89f13e3b98a,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch2,Cap_dis,ndarray,float64,[150],150,150,0,0,0.6080991,3.42071,Ah,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,9f35cf086575ac5370885dfab266dc51b3c51b138d8be6029747ae9fbf824408,OBSERVED_NUMERIC,raw numeric array statically audited
summary,ch2,IR,ndarray,float64,[150],150,150,0,0,0.0160827599465847,0.0294684506952763,ohm_internal_resistance_not_ESR,pinned_information_pdf_subject_to_documentation_conflicts,author_per_cycle_summary,author_summary_numeric,5a962b1a6b7ae193979fbd55285569f7f1680c4bcb258160cccefd534b66773d,OBSERVED_NUMERIC,raw numeric array statically audited
