model,target,horizon_event_steps,outer_test_unit,planned_count,predicted_count,matured_count,failed_count,metric_status,mae,rmse,mase_training_scale,mase,last_value_mae,relative_mae_vs_last_value,skill_vs_last_value,comparison_status
exponential,capacity_ratio,1,stress2:column:01,6,6,6,0,OK,0.010457291955266715,0.011648033531223453,0.021647333333999999,0.48307529587684389,0.024159999999999959,0.43283493192329192,0.56716506807670808,OK
exponential,capacity_ratio,1,stress2:column:02,6,6,6,0,OK,0.012355770407777708,0.014387878433802332,0.020801333333999996,0.59398934719160879,0.029699999999999966,0.41601920564908157,0.58398079435091843,OK
exponential,capacity_ratio,1,stress2:column:03,6,6,6,0,OK,0.011984842813738497,0.014522243643496873,0.020928333333999995,0.57266112033240713,0.029114999999999985,0.4116380839340032,0.58836191606599675,OK
exponential,capacity_ratio,1,stress2:column:04,6,6,6,0,OK,0.013195665321815245,0.016095925821481841,0.020602333333999998,0.64049372990380948,0.031308333333333292,0.42147453782747712,0.57852546217252288,OK
exponential,capacity_ratio,1,stress2:column:05,6,6,6,0,OK,0.01138668306728563,0.01389006244362413,0.020978,0.54279164206719566,0.028780555561666626,0.39563805649574646,0.60436194350425354,OK
exponential,capacity_ratio,1,stress2:column:06,6,6,6,0,OK,0.015312672146639653,0.017911832253241035,0.020729333334,0.73869583261146143,0.031316666666666625,0.48896238892942012,0.51103761107057988,OK
exponential,capacity_ratio,2,stress2:column:01,5,5,5,0,OK,0.020347071357947756,0.021563256504364154,0.021647333333999999,0.93993431172374431,0.050779999999999978,0.40069065297258299,0.59930934702741701,OK
exponential,capacity_ratio,2,stress2:column:02,5,5,5,0,OK,0.025401659510336416,0.027034872288257242,0.020801333333999996,1.2211553510763244,0.062463999999999985,0.40666078877971984,0.59333921122028022,OK
exponential,capacity_ratio,2,stress2:column:03,5,5,5,0,OK,0.023469749626911264,0.025576053008420776,0.020928333333999995,1.121434241912733,0.060145999999999991,0.39021297554137047,0.60978702445862953,OK
exponential,capacity_ratio,2,stress2:column:04,5,5,5,0,OK,0.030015008358270933,0.030781254008713021,0.020602333333999998,1.4568742225297953,0.065177999999999986,0.46050827515835002,0.53949172484164998,OK
exponential,capacity_ratio,2,stress2:column:05,5,5,5,0,OK,0.024791563790290728,0.025862986190362165,0.020978,1.1817887210549494,0.059001333339999976,0.42018650065799917,0.57981349934200077,OK
exponential,capacity_ratio,2,stress2:column:06,5,5,5,0,OK,0.029256057056579833,0.032878167453799657,0.020729333334,1.4113361286247641,0.060059999999999981,0.48711383710589146,0.5128861628941086,OK
exponential,capacity_ratio,3,stress2:column:01,4,4,4,0,OK,0.033818460896552049,0.035477777183437642,0.021647333333999999,1.5622460454949287,0.075290000000000024,0.44917599809472758,0.55082400190527236,OK
exponential,capacity_ratio,3,stress2:column:02,4,4,4,0,OK,0.041209863069688213,0.042826611833788587,0.020801333333999996,1.9811164221059936,0.09189249999999996,0.44845730684972362,0.55154269315027638,OK
exponential,capacity_ratio,3,stress2:column:03,4,4,4,0,OK,0.037360654264682769,0.039376066680432302,0.020928333333999995,1.7851710247746753,0.088617500000000016,0.42159454131162311,0.57840545868837689,OK
exponential,capacity_ratio,3,stress2:column:04,4,4,4,0,OK,0.047623324729997502,0.047718630274612754,0.020602333333999998,2.3115500539642664,0.095772499999999955,0.49725468928969718,0.50274531071030282,OK
exponential,capacity_ratio,3,stress2:column:05,4,4,4,0,OK,0.038827278371634716,0.039318211071685448,0.020978,1.8508570107557782,0.086387083350000005,0.44945698900754372,0.55054301099245628,OK
exponential,capacity_ratio,3,stress2:column:06,4,4,4,0,OK,0.044167628452848579,0.045764941277346177,0.020729333334,2.1306825328726502,0.087925000000000003,0.5023329934927333,0.4976670065072667,OK
exponential,esr_ratio,1,stress2:column:01,6,6,6,0,OK,0.031962872652515996,0.033643876004736874,0.052256633334000005,0.61165196862615001,0.039466666666666685,0.80987008410091166,0.19012991589908834,OK
exponential,esr_ratio,1,stress2:column:02,6,6,6,0,OK,0.034677748260523056,0.039767471631840218,0.052756633334000005,0.65731541360836476,0.034233333333333373,1.0129819355556868,-0.01298193555568683,OK
exponential,esr_ratio,1,stress2:column:03,6,6,6,0,OK,0.030931073327180925,0.034852057552558262,0.052486833334000005,0.58931109694408534,0.036818333333333363,0.84009976896965011,0.15990023103034989,OK
exponential,esr_ratio,1,stress2:column:04,6,6,6,0,OK,0.029779090680696951,0.035050242925122842,0.052305033334000009,0.56933508655924236,0.040529999999999955,0.734741936360646,0.265258063639354,OK
exponential,esr_ratio,1,stress2:column:05,6,6,6,0,OK,0.03276715120313841,0.036135902802525745,0.05245940000000001,0.62461925228154347,0.037428055566666653,0.87547030448252205,0.12452969551747795,OK
exponential,esr_ratio,1,stress2:column:06,6,6,6,0,OK,0.03979141467680488,0.043559221516454437,0.052558633334000002,0.75708617505211939,0.035416666666666617,1.1235222967568452,-0.12352229675684523,OK
exponential,esr_ratio,2,stress2:column:01,5,5,5,0,OK,0.048615110908936374,0.057493677547094717,0.052256633334000005,0.93031463772668399,0.081380000000000008,0.59738401215208126,0.40261598784791874,OK
exponential,esr_ratio,2,stress2:column:02,5,5,5,0,OK,0.052471848120854904,0.062611959636600628,0.052756633334000005,0.99460190699921769,0.075306000000000012,0.6967817719817132,0.3032182280182868,OK
